"regiao","produto","valor","qtd","mes"
"norte","cha",78.05,9,6
"leste","cafe",98.69,6,2
"leste","cafe",176.21,2,7
"oeste","acucar",157.65,3,7
"leste","cafe",57.08,4,7
"norte","cafe",25.37,5,5
"leste","cafe",179.33,8,4
"norte","acucar",60.76,7,1
"norte","acucar",185.4,1,7
"oeste","acucar",149.4,9,10
"oeste","cafe",156.51,3,4
"leste","acucar",8.67,7,2
"oeste","acucar",143.85,6,7
"oeste","cha",60,3,3
"norte","cha",189.3,5,12
"leste","acucar",199.42,7,11
"oeste","cafe",94.85,6,8
"leste","acucar",79.64,6,5
"norte","cafe",19.35,7,7
"oeste","cafe",78.47,1,7
"leste","cha",82.68,9,12
"oeste","acucar",74.13,4,2
"oeste","cha",9.1,1,10
"norte","cafe",94.6,3,6
"leste","cafe",145.67,4,9
"leste","acucar",79.37,4,11
"norte","acucar",114.94,9,4
"oeste","cha",154.74,7,11
"norte","cha",111.28,7,12
"leste","farinha",85.5,2,8
"sul","cha",144.67,7,4
"oeste","farinha",24.14,7,6
"leste","acucar",37.59,4,6
"norte","acucar",116.15,2,3
"norte","cha",126.83,5,6
"leste","acucar",30.17,3,12
"norte","cha",89.07,4,4
"oeste","cafe",52.24,2,12
"norte","cafe",40.24,3,10
"oeste","cafe",79.75,8,5
"leste","acucar",11.31,4,10
"oeste","cha",120.26,2,11
"oeste","acucar",150.94,8,3
"sul","farinha",72.59,7,12
"leste","cafe",94.05,3,9
"norte","cha",11.26,5,1
"oeste","cha",188.57,6,10
"sul","farinha",152.15,8,11
"leste","cafe",43.82,3,12
"sul","farinha",110.05,5,3
"sul","cafe",173.45,1,5
"oeste","farinha",124.86,6,1
"sul","cha",125.56,3,9
"sul","cha",25.9,6,4
"norte","cafe",47.62,7,3
"oeste","cha",135.79,5,10
"sul","farinha",99.51,9,10
"leste","acucar",121.31,7,10
"sul","cafe",173.95,3,4
"leste","cha",133.45,1,12
"norte","farinha",142.31,9,12
"oeste","farinha",155.42,4,8
"oeste","farinha",74.84,7,4
"sul","cha",55.87,8,9
"oeste","cafe",94.31,5,9
"norte","cha",189.81,9,7
"leste","acucar",128,5,6
"oeste","cafe",76.3,5,8
"norte","cafe",159.26,3,8
"norte","farinha",90.16,6,4
"norte","cafe",13.99,6,5
"oeste","farinha",161.16,3,8
"leste","farinha",150.71,7,3
"oeste","farinha",17.31,4,3
"norte","cha",46.74,8,10
"leste","farinha",83.02,1,12
"sul","farinha",187.66,5,8
"oeste","cafe",198.05,6,2
"norte","cha",18.37,2,6
"leste","farinha",123.51,6,7
"sul","cafe",53.96,8,6
"sul","farinha",92.95,9,4
"oeste","acucar",190.84,4,2
"oeste","cafe",104.63,7,8
"norte","cha",147.29,8,7
"leste","cafe",109.24,3,8
"oeste","cafe",84.6,6,4
"oeste","farinha",168.13,5,9
"oeste","farinha",146.86,5,1
"norte","farinha",160.92,9,2
"norte","farinha",29.03,4,3
"oeste","cafe",161.84,7,6
"sul","farinha",28.81,1,11
"norte","cha",29.3,4,11
"norte","cha",42.47,4,10
"sul","acucar",33.47,4,1
"oeste","cha",82.42,2,2
"norte","acucar",14.51,8,9
"oeste","cafe",65.56,4,9
"leste","acucar",185.93,2,4
"sul","farinha",23.68,2,11
"sul","cha",113.25,8,6
"oeste","cafe",195.8,6,2
"norte","acucar",141.78,4,12
"oeste","cafe",48.86,3,6
"norte","cafe",112.53,8,1
"oeste","acucar",83.89,8,3
"oeste","cha",162.93,7,12
"sul","cha",173.42,4,12
"leste","farinha",196.87,2,11
"sul","cha",38.52,4,9
"oeste","cafe",9.72,9,8
"leste","cha",30.04,1,1
"oeste","acucar",129.69,2,3
"leste","cha",41.76,9,10
"norte","farinha",189.6,1,9
"sul","acucar",140.96,5,11
"sul","acucar",32.38,6,7
"sul","farinha",76.7,1,11
"oeste","cafe",152.91,5,9
"leste","farinha",100.75,6,5
"oeste","cha",105.56,8,11
"oeste","farinha",94.57,7,7
"norte","cha",79.93,7,9
"sul","cafe",125.52,7,1
"norte","acucar",115.77,2,2
"sul","cafe",159.06,6,11
"oeste","cha",118.89,2,7
"sul","cafe",99.61,2,11
"leste","cha",44.04,3,11
"sul","cafe",19.16,4,12
"norte","farinha",38.01,1,7
"oeste","cafe",56.94,8,8
"norte","cafe",163.58,7,7
"leste","cafe",89.37,4,6
"oeste","acucar",63.61,1,5
"oeste","cha",180.31,5,10
"sul","cafe",42.72,1,10
"oeste","cha",82.81,3,6
"norte","cha",195.65,7,10
"oeste","cafe",89.69,5,6
"oeste","farinha",121.08,9,1
"sul","cafe",70.24,9,12
"norte","acucar",113.61,1,9
"leste","acucar",98.08,5,11
"norte","farinha",88.97,6,11
"sul","acucar",19.46,4,10
"leste","acucar",60.27,7,10
"norte","cafe",194.18,9,8
"sul","acucar",146.95,1,5
"leste","cafe",111.57,7,2
"leste","cafe",32.26,8,2
"leste","cafe",134.32,6,2
"norte","farinha",129.97,3,3
"leste","acucar",188.82,2,10
"oeste","acucar",6,7,11
"norte","acucar",83.15,3,6
"norte","farinha",106.5,3,12
"oeste","cafe",98.18,3,6
"sul","cha",22.49,1,4
"sul","acucar",100.75,5,8
"sul","acucar",38.02,6,11
"oeste","cafe",198.07,3,6
"sul","cha",75.87,7,9
"oeste","cafe",94.82,3,5
"leste","cafe",133.28,7,10
"norte","acucar",115.39,7,2
"leste","acucar",43.71,6,1
"oeste","cafe",81.78,9,9
"leste","cha",22.75,6,6
"sul","acucar",161.16,4,4
"leste","cafe",27.49,5,6
"norte","farinha",184.51,2,10
