"data","chuva_mm","temperatura_min_c","temperatura_max_c","umidade_relativa_pct","radiacao_mj_m2","vento_m_s"
2016-01-01,7.9,17.6,28.6,68,16.5,0.6
2016-01-02,8.6,16.7,27,73,15.1,1.2
2016-01-03,11.9,17.1,26.6,59,16.5,2.8
2016-01-04,2,13.7,24,72,17,2
2016-01-05,12.9,16.6,26.3,69,16.4,3.2
2016-01-06,0,15.9,28.2,67,13.3,2.6
2016-01-07,0,17.9,23.7,75,14.3,2.6
2016-01-08,10.9,14.6,25.8,72,15.1,0.9
2016-01-09,4.5,15.2,27.3,68,15.6,1.7
2016-01-10,0,12.7,23.6,79,14.3,3.9
2016-01-11,9.2,16.3,22.6,76,15.7,1.3
2016-01-12,9.4,15.1,28,71,16.1,1.4
2016-01-13,2.7,13.5,26.8,66,14.9,1.8
2016-01-14,2.8,13.8,26.6,83,15,1.4
2016-01-15,7.7,13.7,29.9,68,13.6,2.9
2016-01-16,0,16.1,25.8,68,14.2,2.5
2016-01-17,13.2,14.5,26,78,12.6,2.3
2016-01-18,0,15.8,26.9,78,17.4,1.2
2016-01-19,1.6,14.9,25.4,67,14.8,1.5
2016-01-20,0.4,16.5,26.2,81,16.8,2.1
2016-01-21,0.4,15.2,28.9,77,12,2.5
2016-01-22,4.3,16.6,27.1,75,15.5,1.5
2016-01-23,5.1,13.6,25.2,84,14.9,2.1
2016-01-24,5.5,14.4,23,81,12.4,1.9
2016-01-25,10.2,13.9,25.8,77,15.2,1.4
2016-01-26,3.4,12.5,26.2,79,18,3.6
2016-01-27,2.5,15.2,23.3,78,13.9,3.1
2016-01-28,0.5,14.8,25,77,11.8,2.1
2016-01-29,8.8,16.9,22.8,86,13.9,2.7
2016-01-30,11.9,12,23,80,13.2,2.5
2016-01-31,11.1,14.5,26.5,80,15.3,2.7
2016-02-01,0,12,24.5,64,13.1,3.2
2016-02-02,4.3,12.7,24.3,80,13.6,3
2016-02-03,2.7,13.9,28.3,82,14.1,2.7
2016-02-04,3.6,12.3,27.1,82,14.3,2.3
2016-02-05,14.3,15.3,23.4,81,14.8,0.9
2016-02-06,2.8,13.3,23.7,73,12.3,2.7
2016-02-07,6.5,14.7,25.1,91,14.5,2.1
2016-02-08,0,12.5,25.5,77,13,2.4
2016-02-09,1,13.7,26.4,74,12.6,1.9
2016-02-10,13.5,13.8,24.7,76,13.5,1.3
2016-02-11,0,11.1,23.6,72,14.4,3
2016-02-12,7,13.2,24.1,76,17.5,1.9
2016-02-13,9.7,13,22.4,76,14.3,2.6
2016-02-14,10.7,13.7,23.3,84,11.5,2.1
2016-02-15,16.3,11.9,23.4,80,14.7,2.4
2016-02-16,0,13.2,24.3,76,11.6,2.7
2016-02-17,5.6,14.3,23.3,77,11.6,2.7
2016-02-18,9.2,12.9,22.1,77,12.1,3
2016-02-19,18.1,12.7,20.2,81,13.7,2.2
2016-02-20,3,15.3,26.6,80,11,2.3
2016-02-21,5.4,12.7,22.6,80,13.6,2.4
2016-02-22,5.7,13.8,19.7,76,13.4,3.1
2016-02-23,7.2,13.7,27.8,72,10.7,1.8
2016-02-24,7.8,13,24.9,76,14.5,2.4
2016-02-25,3.4,11.3,22.8,85,10.6,0.7
2016-02-26,0,12.4,23.6,74,13.2,2.7
2016-02-27,6.7,10,23.2,73,13.6,1.1
2016-02-28,9.9,11.8,23.3,77,12.3,2.7
2016-02-29,6.9,12.3,23.2,76,10.5,2.6
2016-03-01,12.2,14,21.6,82,12.8,2.4
2016-03-02,10,12.3,20.6,82,13,1
2016-03-03,1.2,13.3,22.6,79,11.7,2.7
2016-03-04,6.5,13.3,24.5,80,9.8,2.6
2016-03-05,1.4,13.3,22.1,86,11.9,2.9
2016-03-06,17.8,12.4,24.4,87,10.7,1.6
2016-03-07,2.9,10.7,22.8,89,12.6,2.9
2016-03-08,10.4,13.8,22.5,73,11.2,2.6
2016-03-09,3.5,13.5,20.7,86,10.7,4.1
2016-03-10,7.3,13.8,22.8,82,8.8,1.9
2016-03-11,14.5,15.5,22.5,84,8.4,3.1
2016-03-12,14.2,12.8,21.3,87,14.8,2.1
2016-03-13,9.5,11.3,22.5,73,12.2,1
2016-03-14,10.6,14.3,24.7,76,12.6,1.2
2016-03-15,19.5,11.9,23.9,86,11.2,1.6
2016-03-16,10.5,13.2,22.9,96,9.5,1.3
2016-03-17,9.5,11.3,19.9,75,11.8,2.8
2016-03-18,19,14.7,23.6,84,12.3,1.2
2016-03-19,16.7,13,21.5,71,10.4,1.3
2016-03-20,11.3,12.3,21,86,9.6,0.4
2016-03-21,13.7,12.6,23.9,87,9.7,1.5
2016-03-22,21.5,14.6,22.8,81,12.5,1.5
2016-03-23,0,10.2,23.3,78,8.5,1.8
2016-03-24,5.1,10.2,20.3,79,11,1
2016-03-25,8.8,9.7,20,79,10.5,0.4
2016-03-26,5.8,9.5,20.4,78,13.9,2.2
2016-03-27,10,11.6,26.8,83,12.9,1.7
2016-03-28,1.5,11.1,22.4,79,7.2,2.7
2016-03-29,3.5,11.9,25.4,91,11.3,3.4
2016-03-30,7.1,11.8,23.2,84,9.7,1.8
2016-03-31,6.3,13.3,21.7,83,12.9,3
2016-04-01,0.4,10.8,21,79,12,1.9
2016-04-02,14.3,10.2,21.7,92,12.3,1.9
2016-04-03,7.2,11.7,22.4,79,11.7,3.5
2016-04-04,11.5,12.4,18.3,88,10.9,2.1
2016-04-05,12.8,11.7,20.6,78,13.8,0.9
2016-04-06,17.4,12.6,21.5,82,9.5,2.4
2016-04-07,10.1,11,18.9,75,10.6,2.6
2016-04-08,9.1,14.6,22.7,93,12.3,2.2
2016-04-09,2.4,13.3,20,90,10.2,1.7
2016-04-10,8.4,11,22.1,83,11.5,1
2016-04-11,6.9,13.1,23,79,13.3,1.7
2016-04-12,7.2,14.1,21.6,63,11.4,3.5
2016-04-13,6.8,12.5,19.9,75,12.2,2.9
2016-04-14,20.5,11.2,24.4,74,9.4,2.2
2016-04-15,19.3,12.6,21.7,74,12.3,2.1
2016-04-16,7.5,12.3,22.4,84,8.2,1.7
2016-04-17,2.3,12.6,21.4,85,11.7,0.5
2016-04-18,14.8,11.4,21.4,70,11.2,0.7
2016-04-19,7.6,14.7,24,97,10.5,1.3
2016-04-20,9.5,11.4,23.2,86,11.4,1
2016-04-21,14.7,11.9,24.2,84,13.1,1.9
2016-04-22,10.6,13,23.2,90,10.7,4.4
2016-04-23,16.8,11.1,24.8,81,8.1,3
2016-04-24,0,12.2,23.6,77,10.1,1.4
2016-04-25,9.4,11.4,26,72,11,2.7
2016-04-26,7.1,12.3,22.6,85,10.2,1.9
2016-04-27,8,11.5,19.2,83,10.7,2.9
2016-04-28,9.2,14.7,22.1,81,12.3,2
2016-04-29,17.5,13.6,20.5,92,12.1,1.8
2016-04-30,15.6,13.9,25.3,88,11.4,2.5
2016-05-01,15.8,12.3,20.5,80,10.8,3.5
2016-05-02,8.9,11.3,23.9,82,10.3,2.3
2016-05-03,7.7,12.8,24.1,79,12.3,1.9
2016-05-04,10.6,11.3,22.5,80,12.1,3.3
2016-05-05,1.5,15.1,21.9,82,13.2,1
2016-05-06,15.9,13,21.4,77,10.7,1.6
2016-05-07,0,13.7,25.3,87,11.3,3.1
2016-05-08,18.9,13.2,21.9,86,13.5,1.5
2016-05-09,20.8,14.5,20.4,75,12.6,1.9
2016-05-10,9.8,12.2,22.8,80,11.1,3.1
2016-05-11,9.1,13.3,19.9,80,11.2,1.6
2016-05-12,13,11.8,24.2,86,10.3,2.1
2016-05-13,0.4,14.4,26.3,95,12.5,1.6
2016-05-14,15.6,14.2,24.2,80,10.5,2.7
2016-05-15,9.1,11.4,22.6,87,10.2,2.3
2016-05-16,13.9,14.8,23.4,87,11.1,1.4
2016-05-17,8.2,13.3,23.3,77,12.4,2.7
2016-05-18,10.9,11.5,26,87,10.3,3.6
2016-05-19,12.8,14.3,20.7,89,11.4,1.6
2016-05-20,26,11.1,25.2,77,12.1,2.8
2016-05-21,11.5,11.4,22.4,90,13.3,2.7
2016-05-22,7.7,12.3,22.8,90,11.3,3.4
2016-05-23,13.4,11.2,23.4,81,12.9,3.2
2016-05-24,10.8,13.8,21.9,85,11,1.4
2016-05-25,0,10.5,23.4,77,11.5,1.7
2016-05-26,19.5,12.5,22.4,75,11.5,2.6
2016-05-27,8,11.4,25.5,88,14.2,3.8
2016-05-28,7.8,14.8,27.6,85,12,2.9
2016-05-29,8.1,12.8,29.8,82,12,0.8
2016-05-30,0,11.9,24.8,90,12.2,3.7
2016-05-31,1.5,14,25.9,79,13.2,1.6
2016-06-01,15.6,13.8,26.1,90,11.9,0.9
2016-06-02,4.1,12.2,20.5,90,12.8,2.6
2016-06-03,1.5,13.1,23.2,91,16.1,2.8
2016-06-04,11.6,13.7,21.4,84,13.7,1.7
2016-06-05,19,13.5,23.9,76,11.9,2.6
2016-06-06,10.8,13.2,25.2,78,14.9,2.4
2016-06-07,10.6,12,21.9,74,13.2,2.6
2016-06-08,3.8,13.6,22.9,84,12.7,2.3
2016-06-09,5.6,14.1,27,80,15.2,2.1
2016-06-10,0,15.3,24,84,14.3,2.6
2016-06-11,0.8,15.2,22.7,86,16.1,2
2016-06-12,8.4,10.7,22.8,93,15.4,2.3
2016-06-13,0,12.3,24.2,90,14.8,1
2016-06-14,14.1,14.3,23.7,93,15.4,1.6
2016-06-15,5.7,16.1,26.8,88,10.6,2.4
2016-06-16,6,13.4,24.7,85,12.6,0.7
2016-06-17,7.7,12.4,24.1,87,15,1.8
2016-06-18,16.1,13.5,26.3,68,13.6,2.2
2016-06-19,2.7,15,28.1,78,16,3.2
2016-06-20,8,13.6,24.8,86,15.6,1.8
2016-06-21,1.9,16.1,22.7,71,16.3,1
2016-06-22,5.4,12.8,26.5,76,15.7,2
2016-06-23,6.2,13.5,28.2,80,16.9,2.3
2016-06-24,5.8,13.3,26.3,76,15.5,2.2
2016-06-25,3.8,14.1,25.7,74,15.5,3.1
2016-06-26,0,12.4,25.2,83,14.4,2.5
2016-06-27,3.5,12.8,26.8,74,13.2,1.5
2016-06-28,2.1,13,29,73,18.2,1.1
2016-06-29,1.9,14.8,27.3,73,15.1,2.1
2016-06-30,6.8,14.9,26.7,78,15.8,2.1
2016-07-01,4.9,16.6,25.9,83,15.3,1.8
2016-07-02,12.4,14.7,24.3,77,15.3,1.9
2016-07-03,17.8,14.3,23.7,93,16,3.1
2016-07-04,10.9,19.5,25.4,85,17.4,2.1
2016-07-05,5.5,14.2,28.7,76,17.8,2.7
2016-07-06,6.3,17.6,25.2,74,16.3,0.9
2016-07-07,0,14.5,26.5,67,15.2,2.5
2016-07-08,9.4,15.5,28.6,74,16.4,2.4
2016-07-09,0,14.8,26.9,81,15.3,2.1
2016-07-10,11.7,14.8,27.5,77,16.4,2.5
2016-07-11,0.2,14.9,28.6,78,15.5,3.2
2016-07-12,6.8,12.2,26.8,90,17.5,3.4
2016-07-13,13.3,15,28.5,79,17.4,1.6
2016-07-14,4.9,14.3,29.8,75,17.8,2
2016-07-15,0.5,16.1,27.8,64,17.8,2.9
2016-07-16,7.7,15.5,25.3,78,17,1.7
2016-07-17,4.7,16.5,27.6,68,18.2,2.3
2016-07-18,0,16.7,26.8,79,18.3,1.9
2016-07-19,16.4,16,29.3,71,16.2,2.2
2016-07-20,0,18.3,25.8,73,16,1.3
2016-07-21,0,18.8,25.7,70,14.3,1.1
2016-07-22,10,15.5,31.7,67,20.5,2.3
2016-07-23,10.4,16,28.3,74,18.1,2.3
2016-07-24,8.7,17.5,25.9,79,15.9,0.9
2016-07-25,9.4,18.6,30.3,77,19.3,1.2
2016-07-26,3.2,16.9,27,75,17.4,2.2
2016-07-27,11,15.1,25.7,76,21.6,1
2016-07-28,2.5,17.5,30.8,74,17.2,1.2
2016-07-29,2.9,14.5,31,67,19.6,2.3
2016-07-30,10.1,15.7,26.8,84,16.2,2.2
2016-07-31,0,18.1,30.7,76,17.8,1.4
2016-08-01,2.9,16.4,27.8,65,18.5,0.1
2016-08-02,0,16.8,28,59,21.7,1.2
2016-08-03,0,14.6,30,75,18.9,1.6
2016-08-04,0,17.1,29.8,68,17,1.7
2016-08-05,0,14.4,28.6,67,18.4,0.9
2016-08-06,3.4,17,27.9,77,20.1,2.1
2016-08-07,0,15.8,29.6,62,19.1,2.1
2016-08-08,0,16.2,28.8,69,21.4,1.1
2016-08-09,9,19.2,30.7,67,21,0.8
2016-08-10,11,15.8,33.1,73,17.9,1.3
2016-08-11,6.3,16.6,29.9,76,19.5,1.7
2016-08-12,0,17.9,26.6,81,18.5,2.5
2016-08-13,0,16,29.5,64,19.8,3
2016-08-14,0,15.6,29.2,66,16.5,1.5
2016-08-15,6.1,18.2,31,65,22,3.3
2016-08-16,1.4,14.4,29.2,73,18.4,1.3
2016-08-17,0,18.2,32.3,66,17.6,3.7
2016-08-18,9.5,15.1,30.2,67,19.8,3.4
2016-08-19,10.3,14.1,30.6,72,16.4,1.5
2016-08-20,6,15.5,30.6,64,17.6,2.2
2016-08-21,5.2,15.2,27.9,84,18.8,1.8
2016-08-22,0.2,16.1,30.8,73,16.7,1.2
2016-08-23,10.2,15.2,28.7,69,19.4,4.2
2016-08-24,3.8,16.1,29.5,62,21.6,1.1
2016-08-25,9.9,14.7,31.4,59,18.3,2.6
2016-08-26,6.9,16.5,31.8,76,19.8,1.1
2016-08-27,4,13.6,29.3,68,19.8,1.5
2016-08-28,0,16.7,28.3,66,20.3,1.4
2016-08-29,6.6,16.2,31.7,65,22.6,2.6
2016-08-30,0,16.8,33.3,75,20.6,2.8
2016-08-31,12.7,19.4,31.9,56,20.2,2.4
2016-09-01,0,17.3,28,79,21.2,3.1
2016-09-02,3.2,15.3,31.3,74,22.1,0.9
2016-09-03,2,18.9,34.6,72,18.5,2.4
2016-09-04,0,16.1,31.6,64,22.9,1.5
2016-09-05,0,16.8,30.8,64,22.7,3.7
2016-09-06,0,19.4,31.1,66,22.5,3.2
2016-09-07,0,17.5,30,71,18.7,3.2
2016-09-08,0,16.6,31.6,65,19.5,2.7
2016-09-09,0,17.4,31.2,62,20.7,3.3
2016-09-10,4.2,15.6,30,64,19.6,3.1
2016-09-11,0,17.9,33.1,65,19.9,3
2016-09-12,0,18.8,31.7,69,21.3,1.7
2016-09-13,0,18.8,34.2,65,21.6,1.8
2016-09-14,0,18.2,32.7,69,20.1,1.2
2016-09-15,0,19.5,31.8,58,21.3,3.2
2016-09-16,0,17.9,31.7,56,22.2,3
2016-09-17,0,19.7,32.7,76,18.3,1.3
2016-09-18,0,17.5,29.8,70,22.4,1.1
2016-09-19,2.4,18.2,33.7,80,20.9,2.2
2016-09-20,0.1,18.8,32,67,20,2.1
2016-09-21,6.7,18.2,30.3,67,20.6,1.3
2016-09-22,3,17.6,33.3,65,21.3,2.4
2016-09-23,7.9,18.2,33.7,71,20.8,0.1
2016-09-24,0,18.4,29.6,68,21,3.1
2016-09-25,2.8,16.5,32.9,59,22.1,1.4
2016-09-26,0,16.2,29.7,66,22.5,0.7
2016-09-27,1.7,18.5,28.3,72,19.4,2.1
2016-09-28,0,17.9,33.7,56,20.3,2.8
2016-09-29,4.2,20.3,30.9,63,19.4,1.4
2016-09-30,9.4,15.8,30.3,66,23.2,2
2016-10-01,0,18.5,33,62,22.5,1.2
2016-10-02,0,17.4,34.6,66,20.6,3
2016-10-03,0,19.6,35,73,20.1,3.8
2016-10-04,0,19.8,29.1,63,21.7,1.4
2016-10-05,0,19.7,33.2,68,20.6,1.2
2016-10-06,0,17.5,31.2,52,22.6,2.9
2016-10-07,0,15.8,32.2,70,21.7,3.1
2016-10-08,0,18.9,35.3,71,20.6,4.7
2016-10-09,10.8,17,32.4,59,22.3,2.9
2016-10-10,0,17.1,30.6,60,21.7,2.2
2016-10-11,0,19.3,33.8,59,19.4,3
2016-10-12,5.3,19.4,33.5,84,23.8,0.7
2016-10-13,0,19.6,33.5,58,21.6,2.2
2016-10-14,1.5,17.8,33.6,65,20.3,2.2
2016-10-15,0,17.7,32.4,56,20.1,1.1
2016-10-16,0,15.8,32.2,72,21,2.7
2016-10-17,0.9,17.9,33,69,21.5,0.5
2016-10-18,0,16.1,29,70,21.9,1.5
2016-10-19,0,19.2,32.9,59,22.2,3.2
2016-10-20,0,18.4,33.4,69,20,1.5
2016-10-21,0,17.3,31.9,60,22.2,1.1
2016-10-22,0,17.6,33.2,65,23.1,0.9
2016-10-23,0,16.8,29.6,53,23.9,2.5
2016-10-24,11.8,19.1,33.7,72,18.2,2.2
2016-10-25,0,16.4,30,70,21.6,2
2016-10-26,1.1,19.6,31,64,19.1,0.1
2016-10-27,10.7,17.9,31,60,17.9,2.6
2016-10-28,0,17.1,32.1,67,18.3,2.6
2016-10-29,0,14.4,32.4,68,21.8,1.1
2016-10-30,6.7,17.8,32.7,62,22.8,3
2016-10-31,0.2,17.5,30.3,55,19.4,2.4
2016-11-01,0,16.6,31.6,69,23,2.2
2016-11-02,0,16.5,35.8,64,20.4,0.6
2016-11-03,0.5,19.1,31.8,57,17.4,2.9
2016-11-04,0.3,16.2,29.8,68,18.1,2.6
2016-11-05,0,19.9,31.7,64,19.3,2.6
2016-11-06,0,17.4,32.2,59,20.5,1.7
2016-11-07,0,18.4,32.1,71,19.9,2.7
2016-11-08,0,17.5,27.5,69,20.2,0.6
2016-11-09,0,19.3,29.5,64,20.9,1.6
2016-11-10,5.1,17.8,29.8,69,17.6,2.9
2016-11-11,6.5,16.1,31.5,74,19,1
2016-11-12,5,16.9,31.6,67,22.3,1.8
2016-11-13,3.1,16.3,31.9,62,20,1.6
2016-11-14,0,18.8,30.3,72,19.5,1.9
2016-11-15,0,17.5,30.6,60,19.6,1.5
2016-11-16,0,18.1,29,69,18.1,3
2016-11-17,0,16.7,28.1,59,17.3,1.3
2016-11-18,1.2,17.1,32.4,69,19.1,0.2
2016-11-19,0,16.2,30.2,61,17.9,2.8
2016-11-20,0,19.3,32.4,58,21.7,2.5
2016-11-21,0,16.6,30.7,65,19.9,2.3
2016-11-22,0,17.6,26,51,22.3,1.1
2016-11-23,9.5,16.4,34.4,55,20.5,2.9
2016-11-24,3.1,17.8,27.9,65,19.4,1.8
2016-11-25,0,15,32.6,59,18.6,2.4
2016-11-26,0,17.2,28.8,66,20,2.9
2016-11-27,2.5,17.2,29.7,63,20.2,1.2
2016-11-28,0,19.1,28.9,65,17.9,2.4
2016-11-29,0,16,28.2,62,19.7,0.8
2016-11-30,0,16.4,28.4,57,19,2.3
2016-12-01,0,16.3,29.2,58,16.1,2.2
2016-12-02,0,14.6,32.4,61,20.7,2.1
2016-12-03,9.6,16.1,31.5,78,18.6,0.1
2016-12-04,0,15.2,28.6,62,18.2,1.8
2016-12-05,0,19.1,27,84,17.2,2.1
2016-12-06,0,13.3,27.6,65,17.1,2
2016-12-07,0,15.4,31.2,70,19.4,1.7
2016-12-08,0,16.6,30.7,66,17.6,2.7
2016-12-09,0.3,17.8,28.1,71,16.8,1.6
2016-12-10,8.6,16,26.8,60,14.5,0.8
2016-12-11,1.4,14.6,29,79,16.8,2.4
2016-12-12,0,17,27.7,73,18.3,1.5
2016-12-13,0,15.8,28.3,65,19.6,3.5
2016-12-14,3.7,18.4,30.8,73,21,2.6
2016-12-15,0,16.8,28,70,18.5,2.8
2016-12-16,0,16.2,28.6,75,16.8,2.5
2016-12-17,4.3,15.6,30.2,63,18.2,2.8
2016-12-18,0,17.6,30.6,67,18.3,1.3
2016-12-19,6.4,16.8,27.4,64,16.8,3.3
2016-12-20,4,18.1,28.9,71,13.4,1.4
2016-12-21,0,14.6,28.3,73,17,1.9
2016-12-22,1.4,14,28.5,70,17.3,3.3
2016-12-23,0,16.5,26.8,68,15.1,1.5
2016-12-24,0,18.2,28.5,69,16.3,1.8
2016-12-25,6.2,14,30.8,72,16.6,1.3
2016-12-26,0.9,13.3,31.3,74,13.3,1.9
2016-12-27,3.4,15.3,26.3,66,18.2,0.3
2016-12-28,0,16.1,31.8,68,15.3,1.9
2016-12-29,4.1,16.3,26.6,70,15.8,2.6
2016-12-30,0,17.1,29.3,71,17.9,1.3
2016-12-31,5.1,15.3,26,70,16.5,2.7
2017-01-01,1.7,13.4,30.7,75,17.7,0.9
2017-01-02,0,13.7,26.7,74,15,1.1
2017-01-03,2.4,16.8,26.9,71,17.9,2.3
2017-01-04,5.3,17.9,28.9,73,17.4,2
2017-01-05,4.9,15.9,28.3,70,13.7,0.5
2017-01-06,0,20.1,27.6,74,15.2,1.2
2017-01-07,8.4,15.6,27.7,77,13.4,1.3
2017-01-08,0,14,25.9,69,17,0.7
2017-01-09,0,15.8,29.1,67,14,2.6
2017-01-10,6.2,16.3,26.3,76,16.7,2.3
2017-01-11,0,16,26.9,67,13.1,1.8
2017-01-12,0,15.3,27.5,77,14.3,2.1
2017-01-13,0,15.1,25.8,65,13.2,1.2
2017-01-14,0,14.9,30.5,90,12.8,1.9
2017-01-15,0,13.9,30.5,71,14.2,1.5
2017-01-16,14.1,15.9,25.1,90,14.3,2.4
2017-01-17,3,17.7,24.3,79,15.3,1.9
2017-01-18,0,12.4,24.4,81,16.8,2.2
2017-01-19,4.6,12.4,29,82,15,2.6
2017-01-20,0,14.4,27.3,71,15.7,3.6
2017-01-21,13.3,12.9,25,82,13.7,2.7
2017-01-22,0,13.7,25.8,85,13.3,1.1
2017-01-23,2.4,13.2,24.3,83,12.7,2.6
2017-01-24,2,13.3,25.9,79,12,2.2
2017-01-25,0,13.1,24.5,77,14.2,1.6
2017-01-26,2.2,14.5,22.9,68,13.5,1.8
2017-01-27,8.8,15.9,26.7,79,12.9,1.7
2017-01-28,13.5,13.5,24.5,63,11.6,1.2
