"talhao_id","data_campanha","horario_voo","temperatura_superficie_media_c","temperatura_superficie_min_c","temperatura_superficie_max_c","indice_cobertura_vegetal","qualidade_imagem"
"T01",2021-02-15,"11:30",27.7,14.9,29.8,0.44,"boa"
"T02",2021-02-15,"11:30",20.6,14.4,19.7,0.8,"boa"
"T03",2021-02-15,"11:30",24.5,14.4,24.2,0.57,"boa"
"T04",2021-02-15,"11:30",23.8,14.5,23.4,0.6,"boa"
"T05",2021-02-15,"11:30",28.8,13.1,28.8,0.4,"boa"
"T06",2021-02-15,"11:30",22.5,14.3,22.8,0.59,"boa"
"T07",2021-02-15,"11:30",26.4,13.7,28,0.52,"boa"
"T08",2021-02-15,"11:30",28.5,14.2,28.6,0.46,"boa"
"T09",2021-02-15,"11:30",23.2,15,25.6,0.61,"boa"
"T10",2021-02-15,"11:30",23.2,15.7,24.8,0.69,"boa"
"T11",2021-02-15,"11:30",22.5,14.1,23.4,0.66,"boa"
"T12",2021-02-15,"11:30",27.6,13.6,28.9,0.47,"boa"
"T13",2021-02-15,"11:30",24.6,15.4,26.3,0.66,"boa"
"T14",2021-02-15,"11:30",24.7,14.5,24.8,0.64,"boa"
"T15",2021-02-15,"11:30",28.2,13.8,30.1,0.45,"boa"
"T16",2021-02-15,"11:30",22,14.6,23.5,0.63,"boa"
"T17",2021-02-15,"11:30",21,13.9,22.9,0.71,"boa"
"T18",2021-02-15,"11:30",25.9,15.2,30.2,0.48,"boa"
"T19",2021-02-15,"11:30",21.2,14.7,25.6,0.64,"boa"
"T20",2021-02-15,"11:30",23.4,15.5,26.8,0.65,"boa"
"T21",2021-02-15,"11:30",25.8,14.3,24.5,0.7,"boa"
"T22",2021-02-15,"11:30",24.5,13.6,25.9,0.64,"boa"
"T23",2021-02-15,"11:30",25.3,15,27.8,0.48,"boa"
"T24",2021-02-15,"11:30",23.5,15.2,24.1,0.66,"boa"
"T25",2021-02-15,"11:30",23.6,14.3,23,0.77,"boa"
"T26",2021-02-15,"11:30",23.4,14.4,24.7,0.74,"boa"
"T27",2021-02-15,"11:30",23,14.9,22.3,0.74,"boa"
"T28",2021-02-15,"11:30",26.1,15.4,27.1,0.47,"boa"
"T29",2021-02-15,"11:30",24,15.4,24.2,0.75,"boa"
"T30",2021-02-15,"11:30",23.4,14.7,24.7,0.65,"boa"
