"lancamento_id","data","tipo","categoria","subcategoria","produto_id","quantidade","unidade","valor_unitario","valor_total","canal_venda","atividade","talhao_id","natureza_alocacao","evento_id","observacao"
"L2016_000003",2016-01-04,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",7,"caixa",46.79,327.53,"feira_e_csa","agrofloresta","T03","direto",NA,""
"L2016_000001",2016-01-06,"receita","venda_produto","feira_local","HORTA_CESTA",10,"cesta",49.53,495.3,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000002",2016-01-06,"receita","venda_produto","feira_local","HORTA_CESTA",13,"cesta",44.79,582.27,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_001993",2016-01-08,"despesa","manejo","mao_de_obra",NA,NA,NA,5834.73,5834.73,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_000006",2016-01-11,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",4,"caixa",48.53,194.12,"feira_e_csa","agrofloresta","T13","direto",NA,""
"L2016_001994",2016-01-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1268.87,1268.87,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000005",2016-01-13,"receita","venda_produto","feira_local","HORTA_AVULSO",17.6,"kg",10.53,185.33,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000004",2016-01-15,"receita","venda_produto","feira_local","HORTA_CESTA",11,"cesta",43.42,477.62,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000007",2016-01-18,"receita","venda_produto","feira_local","HORTA_AVULSO",9.1,"kg",11.5,104.65,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000011",2016-01-18,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",3,"caixa",56.38,169.14,"feira_e_csa","agrofloresta","T29","direto",NA,""
"L2016_000008",2016-01-19,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",49.88,448.92,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000009",2016-01-19,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",49.58,694.12,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000010",2016-01-20,"receita","venda_produto","feira_local","HORTA_AVULSO",17,"kg",11.81,200.77,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000012",2016-01-25,"receita","venda_produto","feira_local","HORTA_CESTA",15,"cesta",40.98,614.7,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000016",2016-01-25,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",7,"caixa",42.8,299.6,"feira_e_csa","agrofloresta","T22","direto",NA,""
"L2016_000013",2016-01-26,"receita","venda_produto","feira_local","HORTA_AVULSO",21.2,"kg",8.67,183.8,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_001995",2016-01-26,"despesa","infraestrutura","energia_e_manutencao",NA,NA,NA,832.46,832.46,NA,"geral",NA,"compartilhado",NA,""
"L2016_000014",2016-01-27,"receita","venda_produto","feira_local","HORTA_CESTA",12,"cesta",46.01,552.12,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000015",2016-01-28,"receita","venda_produto","feira_local","HORTA_CESTA",6,"cesta",41.9,251.4,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000019",2016-02-01,"receita","venda_produto","feira_local","HORTA_CESTA",8,"cesta",41.9,335.2,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000021",2016-02-01,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",9,"caixa",45.43,408.87,"feira_e_csa","agrofloresta","T04","direto",NA,""
"L2016_000017",2016-02-02,"receita","venda_produto","feira_local","HORTA_AVULSO",12,"kg",8.78,105.36,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000018",2016-02-02,"receita","venda_produto","feira_local","HORTA_CESTA",9,"cesta",41.06,369.54,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000020",2016-02-03,"receita","venda_produto","feira_local","HORTA_AVULSO",27.1,"kg",10.77,291.87,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000024",2016-02-08,"receita","venda_produto","banana_agroflorestal","BANANA_CAIXA",3,"caixa",40.59,121.77,"feira_e_csa","agrofloresta","T13","direto",NA,""
"L2016_001996",2016-02-08,"despesa","manejo","mao_de_obra",NA,NA,NA,6155.18,6155.18,NA,"cafeicultura",NA,"compartilhado",NA,""
"L2016_001997",2016-02-11,"despesa","operacao","transporte_e_embalagem",NA,NA,NA,1094.9,1094.9,NA,"beneficiamento",NA,"compartilhado",NA,""
"L2016_000022",2016-02-12,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",41.84,585.76,"feira_e_csa","horta",NA,"direto",NA,""
"L2016_000023",2016-02-12,"receita","venda_produto","feira_local","HORTA_CESTA",14,"cesta",40.98,573.72,"feira_e_csa","horta",NA,"direto",NA,""
