"talhao_id","ano","sistema","idade_cafezal","cultivar","densidade_cafe_ha","densidade_banana_ha","densidade_inga_ha","cobertura_solo_pct","sombreamento_pct","dose_composto_kg_ha","poda_realizada","irrigacao"
"T01",2016,"cafe_solteiro",9,"Catuai Vermelho",4505,0,0,42,2,1846,TRUE,FALSE
"T02",2016,"cafe_banana_inga",9,"Mundo Novo",4210,316,71,77,42,1962,TRUE,FALSE
"T03",2016,"cafe_banana",10,"Catuai Vermelho",4030,316,0,49,27,1784,TRUE,FALSE
"T04",2016,"cafe_banana",4,"Arara",4204,344,0,59,24,1570,FALSE,FALSE
"T05",2016,"cafe_solteiro",6,"Arara",3990,0,0,38,13,2205,TRUE,FALSE
"T06",2016,"cafe_banana",12,"Mundo Novo",4418,346,0,60,28,1864,TRUE,FALSE
"T07",2016,"cafe_solteiro",11,"Mundo Novo",3992,0,0,40,2,1567,FALSE,FALSE
"T08",2016,"cafe_solteiro",5,"Arara",4214,0,0,33,5,1411,FALSE,FALSE
"T09",2016,"cafe_banana",14,"Catuai Vermelho",3914,294,0,53,28,1798,TRUE,FALSE
"T10",2016,"cafe_inga",10,"Catuai Vermelho",4344,0,84,57,23,2011,TRUE,FALSE
"T11",2016,"cafe_inga",11,"Mundo Novo",4438,0,95,71,34,2128,TRUE,FALSE
"T12",2016,"cafe_solteiro",5,"Mundo Novo",4147,0,0,37,3,1434,FALSE,FALSE
"T13",2016,"cafe_banana",4,"Mundo Novo",4379,284,0,55,33,1954,TRUE,FALSE
"T14",2016,"cafe_banana",12,"Catuai Vermelho",4028,298,0,50,23,1595,TRUE,FALSE
"T15",2016,"cafe_solteiro",12,"Mundo Novo",4194,0,0,38,3,1678,FALSE,FALSE
"T16",2016,"cafe_inga",7,"Arara",4439,0,98,64,40,1772,FALSE,FALSE
"T17",2016,"cafe_banana_inga",6,"Catuai Vermelho",4089,326,81,92,54,1775,TRUE,FALSE
"T18",2016,"cafe_solteiro",8,"Catuai Vermelho",3972,0,0,36,4,1524,TRUE,FALSE
"T19",2016,"cafe_banana",11,"Catuai Vermelho",4519,223,0,63,27,1762,TRUE,FALSE
"T20",2016,"cafe_inga",10,"Catuai Vermelho",4140,0,69,71,39,1986,FALSE,FALSE
"T21",2016,"cafe_inga",6,"Mundo Novo",3827,0,91,60,38,1865,TRUE,FALSE
"T22",2016,"cafe_banana",11,"Mundo Novo",4086,278,0,58,21,1946,TRUE,FALSE
"T23",2016,"cafe_solteiro",5,"Catuai Vermelho",4540,0,0,34,2,1405,TRUE,FALSE
"T24",2016,"cafe_inga",14,"Arara",4458,0,83,57,35,1888,TRUE,FALSE
"T25",2016,"cafe_banana_inga",9,"Catuai Vermelho",4012,288,78,78,53,1755,TRUE,FALSE
"T26",2016,"cafe_banana_inga",10,"Catuai Vermelho",4394,312,67,75,47,2241,TRUE,FALSE
"T27",2016,"cafe_banana_inga",6,"Catuai Vermelho",4316,279,71,81,41,2169,TRUE,FALSE
"T28",2016,"cafe_solteiro",11,"Mundo Novo",3997,0,0,33,2,1697,TRUE,FALSE
"T29",2016,"cafe_banana_inga",13,"Mundo Novo",3829,303,81,71,39,2144,FALSE,FALSE
"T30",2016,"cafe_banana",14,"Catuai Vermelho",4022,350,0,54,15,1745,TRUE,FALSE
"T31",2016,"cafe_banana_inga",11,"Catuai Vermelho",4306,308,88,78,40,2389,TRUE,FALSE
"T32",2016,"cafe_inga",4,"Catuai Vermelho",4021,0,73,74,35,2250,TRUE,FALSE
"T33",2016,"cafe_inga",13,"Catuai Vermelho",3999,0,88,55,36,1600,FALSE,FALSE
"T34",2016,"cafe_inga",11,"Catuai Vermelho",4249,0,93,60,36,2329,TRUE,FALSE
"T35",2016,"cafe_banana_inga",14,"Catuai Vermelho",4260,272,85,76,41,1977,FALSE,FALSE
"T36",2016,"cafe_banana",4,"Catuai Vermelho",4131,273,0,55,34,1680,FALSE,FALSE
"T01",2017,"cafe_solteiro",13,"Catuai Vermelho",4030,0,0,35,20,1645,TRUE,FALSE
"T02",2017,"cafe_banana_inga",6,"Catuai Vermelho",3962,262,94,71,50,1799,TRUE,FALSE
"T03",2017,"cafe_banana",12,"Mundo Novo",3735,350,0,58,34,1728,FALSE,FALSE
"T04",2017,"cafe_banana",5,"Mundo Novo",4171,308,0,63,35,2030,FALSE,FALSE
"T05",2017,"cafe_solteiro",14,"Catuai Vermelho",4336,0,0,25,8,1534,TRUE,FALSE
"T06",2017,"cafe_banana",5,"Arara",4301,279,0,42,24,1981,FALSE,FALSE
"T07",2017,"cafe_solteiro",8,"Mundo Novo",4221,0,0,33,13,1766,TRUE,FALSE
"T08",2017,"cafe_solteiro",10,"Catuai Vermelho",4258,0,0,48,12,1821,TRUE,FALSE
"T09",2017,"cafe_banana",8,"Catuai Vermelho",4223,313,0,62,24,1779,TRUE,FALSE
"T10",2017,"cafe_inga",6,"Catuai Vermelho",4115,0,68,64,35,2054,TRUE,FALSE
"T11",2017,"cafe_inga",12,"Arara",4221,0,62,64,42,1929,TRUE,FALSE
"T12",2017,"cafe_solteiro",10,"Mundo Novo",3946,0,0,25,8,1318,TRUE,FALSE
"T13",2017,"cafe_banana",12,"Mundo Novo",4321,319,0,58,26,1964,FALSE,FALSE
"T14",2017,"cafe_banana",14,"Catuai Vermelho",4141,316,0,51,21,1930,TRUE,FALSE
"T15",2017,"cafe_solteiro",15,"Catuai Vermelho",4202,0,0,40,3,1663,TRUE,FALSE
"T16",2017,"cafe_inga",9,"Catuai Vermelho",4181,0,92,68,47,2111,FALSE,FALSE
"T17",2017,"cafe_banana_inga",14,"Arara",4267,307,82,84,56,2186,FALSE,FALSE
"T18",2017,"cafe_solteiro",5,"Catuai Vermelho",4120,0,0,26,9,1738,FALSE,FALSE
"T19",2017,"cafe_banana",12,"Mundo Novo",4219,280,0,60,26,1707,TRUE,FALSE
"T20",2017,"cafe_inga",7,"Arara",4364,0,97,50,33,2089,TRUE,FALSE
"T21",2017,"cafe_inga",10,"Catuai Vermelho",4221,0,75,64,21,1602,TRUE,FALSE
"T22",2017,"cafe_banana",14,"Arara",4235,367,0,66,30,2235,TRUE,FALSE
"T23",2017,"cafe_solteiro",8,"Catuai Vermelho",4132,0,0,25,2,1301,TRUE,FALSE
"T24",2017,"cafe_inga",14,"Mundo Novo",4315,0,78,73,29,1673,TRUE,FALSE
"T25",2017,"cafe_banana_inga",12,"Catuai Vermelho",4117,301,83,88,47,1798,TRUE,FALSE
"T26",2017,"cafe_banana_inga",5,"Mundo Novo",4207,318,100,85,54,2268,FALSE,FALSE
"T27",2017,"cafe_banana_inga",14,"Catuai Vermelho",3797,311,95,76,38,1915,FALSE,FALSE
"T28",2017,"cafe_solteiro",6,"Catuai Vermelho",4368,0,0,44,8,1161,TRUE,FALSE
"T29",2017,"cafe_banana_inga",14,"Mundo Novo",4336,313,72,68,44,2149,TRUE,FALSE
"T30",2017,"cafe_banana",6,"Catuai Vermelho",4127,315,0,57,25,2008,FALSE,FALSE
"T31",2017,"cafe_banana_inga",6,"Catuai Vermelho",4149,329,89,62,51,1905,FALSE,FALSE
"T32",2017,"cafe_inga",9,"Arara",4587,0,89,65,40,1982,TRUE,FALSE
