"talhao_id","ano_mes","temperatura_min_c","temperatura_max_c","amplitude_termica_c","umidade_relativa_pct","umidade_solo_pct","chuva_mm","sombreamento_pct"
"T01","2021-01",14.3,25.1,10.8,60,28.7,117.1,4
"T02","2021-01",15.7,19.8,4.1,69,39.1,117.1,63
"T03","2021-01",14.4,23.3,8.9,69,30.3,117.1,29
"T04","2021-01",14.6,23.1,8.4,71,31.7,117.1,36
"T05","2021-01",14.8,24.8,10,62,26.3,117.1,2
"T06","2021-01",15,24,9,62,30.2,117.1,29
"T07","2021-01",14.3,24.3,10,62,28.5,117.1,12
"T08","2021-01",14.2,25.2,11,62,26.6,117.1,2
"T09","2021-01",15.4,22.6,7.2,71,32.3,117.1,28
"T10","2021-01",15.4,21.8,6.3,75,36.1,117.1,49
"T11","2021-01",15.3,23.5,8.1,69,29.7,117.1,36
"T12","2021-01",13.7,25.3,11.6,61,28.7,117.1,6
"T13","2021-01",15.1,22.4,7.3,68,40.2,117.1,36
"T14","2021-01",15.9,23.3,7.4,72,35.3,117.1,28
"T15","2021-01",14.3,25,10.7,65,35,117.1,2
"T16","2021-01",15.7,23.5,7.8,77,34.5,117.1,36
"T17","2021-01",14.5,23.2,8.7,69,38.8,117.1,45
"T18","2021-01",14.4,25.9,11.5,64,32.7,117.1,4
"T19","2021-01",15.5,23.5,8.1,71,36,117.1,37
"T20","2021-01",15.3,23.1,7.8,72,35,117.1,32
"T21","2021-01",14.7,23.9,9.2,74,38.4,117.1,37
"T22","2021-01",15.1,22.4,7.3,75,36.2,117.1,38
"T23","2021-01",14.7,25,10.2,65,33.8,117.1,13
"T24","2021-01",14.5,22,7.4,79,32.9,117.1,38
"T25","2021-01",15,22.7,7.7,81,46,117.1,55
"T26","2021-01",15.8,22.5,6.6,78,42.2,117.1,51
"T27","2021-01",15.2,23.7,8.5,75,46,117.1,47
"T28","2021-01",15.7,25.1,9.4,70,40.1,117.1,11
"T29","2021-01",15.6,21.9,6.4,78,44.8,117.1,48
"T30","2021-01",14.6,23.6,9,73,42.9,117.1,32
"T31","2021-01",16.1,23.2,7.1,79,39.1,117.1,39
"T32","2021-01",14.9,23.3,8.3,73,42.5,117.1,33
"T33","2021-01",14.9,25,10.1,73,42.5,117.1,29
"T34","2021-01",15.6,23.3,7.7,80,42.6,117.1,35
"T35","2021-01",15.3,22.4,7.1,71,43.8,117.1,51
"T36","2021-01",15,22.8,7.7,77,39.3,117.1,34
"T01","2021-02",13.1,23.9,10.8,61,39.3,176.3,4
"T02","2021-02",13.3,19.8,6.5,76,42.6,176.3,63
"T03","2021-02",13,21.7,8.8,76,37.1,176.3,29
"T04","2021-02",12.8,21.6,8.8,70,38.9,176.3,36
"T05","2021-02",12.8,24.8,12,65,35.2,176.3,2
"T06","2021-02",13.1,20.3,7.2,73,39.6,176.3,29
"T07","2021-02",12.3,23,10.8,71,33.9,176.3,12
"T08","2021-02",12.5,24.1,11.6,67,32.7,176.3,2
"T09","2021-02",12.9,21.4,8.5,69,38.5,176.3,28
"T10","2021-02",13.4,20.7,7.4,79,44,176.3,49
"T11","2021-02",12.3,20.9,8.7,69,37.8,176.3,36
"T12","2021-02",12.5,24.2,11.7,64,35.4,176.3,6
"T13","2021-02",13.6,21.5,7.9,72,46,176.3,36
"T14","2021-02",13.1,20.8,7.8,71,40,176.3,28
"T15","2021-02",12.4,24.4,11.9,69,38.8,176.3,2
"T16","2021-02",13.2,20.4,7.2,73,44.7,176.3,36
"T17","2021-02",13.1,20.4,7.3,78,45.9,176.3,45
"T18","2021-02",13,22.8,9.7,68,40.9,176.3,4
"T19","2021-02",12.7,20.9,8.2,82,46,176.3,37
"T20","2021-02",13.4,22.1,8.7,73,46,176.3,32
"T21","2021-02",13.1,22,8.9,76,41.6,176.3,37
"T22","2021-02",12.3,22.2,9.9,76,46,176.3,38
"T23","2021-02",13.2,22.8,9.5,71,45.3,176.3,13
"T24","2021-02",13.3,20.6,7.3,74,44.9,176.3,38
"T25","2021-02",13.2,22,8.8,78,46,176.3,55
"T26","2021-02",13.3,21.4,8,86,46,176.3,51
"T27","2021-02",13.8,19.8,6,81,46,176.3,47
"T28","2021-02",13.5,23,9.5,76,46,176.3,11
"T29","2021-02",13.9,20.6,6.7,89,46,176.3,48
"T30","2021-02",13.7,21.9,8.2,82,46,176.3,32
"T31","2021-02",14,21,7,79,46,176.3,39
"T32","2021-02",13.7,20.8,7.1,80,46,176.3,33
"T33","2021-02",12.8,22.1,9.3,83,46,176.3,29
"T34","2021-02",13.8,20.5,6.7,82,46,176.3,35
"T35","2021-02",13.8,20.7,6.9,86,46,176.3,51
"T36","2021-02",13.9,22.3,8.4,81,46,176.3,34
"T01","2021-03",12.2,23.5,11.3,62,46,285.5,4
"T02","2021-03",13.3,18.6,5.4,80,46,285.5,63
"T03","2021-03",13.4,19.8,6.5,71,46,285.5,29
"T04","2021-03",12.6,20.7,8,74,46,285.5,36
"T05","2021-03",11.9,22.6,10.6,71,46,285.5,2
"T06","2021-03",13,21.8,8.8,69,46,285.5,29
"T07","2021-03",12.3,22.7,10.4,68,46,285.5,12
"T08","2021-03",12.2,23.2,11.1,64,46,285.5,2
"T09","2021-03",12.7,20.5,7.8,73,46,285.5,28
"T10","2021-03",12.6,19.1,6.5,77,46,285.5,49
"T11","2021-03",12.5,20.8,8.3,72,46,285.5,36
"T12","2021-03",12.1,23,11,65,46,285.5,6
"T13","2021-03",13.3,19.2,5.9,75,46,285.5,36
"T14","2021-03",13,21.6,8.7,76,46,285.5,28
"T15","2021-03",12.2,22.4,10.2,71,46,285.5,2
"T16","2021-03",12.5,21.1,8.6,75,46,285.5,36
"T17","2021-03",13.1,20,6.9,79,46,285.5,45
"T18","2021-03",12.7,22.9,10.1,66,46,285.5,4
"T19","2021-03",13.6,21,7.4,75,46,285.5,37
"T20","2021-03",13.3,21,7.7,73,46,285.5,32
"T21","2021-03",12.5,20.7,8.1,76,46,285.5,37
"T22","2021-03",13.5,18.7,5.2,77,46,285.5,38
"T23","2021-03",13.8,20.6,6.8,75,46,285.5,13
"T24","2021-03",12.9,19.7,6.8,81,46,285.5,38
"T25","2021-03",14.2,18,3.8,89,46,285.5,55
"T26","2021-03",13.5,19.6,6.1,83,46,285.5,51
"T27","2021-03",13.1,20.1,7,83,46,285.5,47
"T28","2021-03",12.7,21.1,8.4,74,46,285.5,11
"T29","2021-03",13.6,20,6.4,86,46,285.5,48
"T30","2021-03",13.2,22.2,9,85,46,285.5,32
"T31","2021-03",13.8,21.3,7.5,85,46,285.5,39
"T32","2021-03",12.7,19.9,7.2,76,46,285.5,33
"T33","2021-03",12.5,21,8.5,81,46,285.5,29
"T34","2021-03",13,19.7,6.7,86,46,285.5,35
"T35","2021-03",13.4,19.3,5.9,84,46,285.5,51
"T36","2021-03",12.4,19.5,7.1,83,46,285.5,34
"T01","2021-04",11.4,21.7,10.3,71,45.7,273.9,4
"T02","2021-04",12.6,16.1,3.4,82,46,273.9,63
"T03","2021-04",12.5,20.1,7.5,74,46,273.9,29
"T04","2021-04",12.9,18.8,5.9,71,46,273.9,36
"T05","2021-04",12.1,22.8,10.6,62,46,273.9,2
"T06","2021-04",11.9,20.7,8.8,76,46,273.9,29
"T07","2021-04",12.4,20.8,8.4,67,46,273.9,12
"T08","2021-04",12.3,21.7,9.4,70,46,273.9,2
"T09","2021-04",12.2,20.1,7.9,75,46,273.9,28
"T10","2021-04",13.1,18,4.9,76,46,273.9,49
"T11","2021-04",13,19.1,6.1,69,46,273.9,36
"T12","2021-04",11,21.1,10.1,66,46,273.9,6
"T13","2021-04",11.9,20.2,8.3,75,46,273.9,36
"T14","2021-04",12.6,20.8,8.2,74,46,273.9,28
"T15","2021-04",11.8,23.4,11.6,74,46,273.9,2
"T16","2021-04",13.4,18.9,5.5,80,46,273.9,36
"T17","2021-04",12.3,20.4,8.2,82,46,273.9,45
"T18","2021-04",12,20.1,8.1,73,46,273.9,4
"T19","2021-04",12.9,18.5,5.6,79,46,273.9,37
"T20","2021-04",12,18.8,6.9,78,46,273.9,32
"T21","2021-04",13.5,19.8,6.3,86,46,273.9,37
"T22","2021-04",12.5,19.1,6.5,81,46,273.9,38
"T23","2021-04",11.5,22.1,10.6,73,46,273.9,13
"T24","2021-04",11.9,19.8,8,77,46,273.9,38
"T25","2021-04",12.9,16.5,3.5,85,46,273.9,55
"T26","2021-04",12.9,19.6,6.7,89,46,273.9,51
"T27","2021-04",13.2,18.9,5.7,83,46,273.9,47
"T28","2021-04",12,21.5,9.6,78,46,273.9,11
"T29","2021-04",13.1,19.2,6.1,89,46,273.9,48
"T30","2021-04",13.1,20.8,7.7,87,46,273.9,32
"T31","2021-04",12.9,19.2,6.3,84,46,273.9,39
"T32","2021-04",12.7,19.6,7,85,46,273.9,33
"T33","2021-04",12.6,19,6.4,81,46,273.9,29
"T34","2021-04",13.2,21,7.8,81,46,273.9,35
"T35","2021-04",13.6,18.2,4.6,86,46,273.9,51
"T36","2021-04",11.9,19.4,7.5,84,46,273.9,34
"T01","2021-05",11.6,23.2,11.7,56,46,289.5,4
"T02","2021-05",12.5,19.8,7.3,74,46,289.5,63
"T03","2021-05",12.8,21.1,8.3,64,46,289.5,29
"T04","2021-05",12.3,21.1,8.8,72,46,289.5,36
"T05","2021-05",12.1,25,12.9,67,43.5,289.5,2
"T06","2021-05",12.2,20.1,7.9,68,46,289.5,29
"T07","2021-05",11.4,24.5,13.1,62,43.4,289.5,12
"T08","2021-05",12,24.3,12.3,61,46,289.5,2
"T09","2021-05",12.3,24,11.6,65,46,289.5,28
"T10","2021-05",12.4,19.7,7.3,72,46,289.5,49
"T11","2021-05",12.5,21.1,8.6,66,46,289.5,36
"T12","2021-05",10.8,25.4,14.6,65,45.2,289.5,6
"T13","2021-05",13.5,21.6,8.1,75,46,289.5,36
"T14","2021-05",11.9,22,10.1,67,46,289.5,28
"T15","2021-05",11.9,23.7,11.8,65,46,289.5,2
"T16","2021-05",12.8,21.7,8.9,73,46,289.5,36
"T17","2021-05",12.9,21,8,73,46,289.5,45
"T18","2021-05",11.6,24.6,13.1,62,46,289.5,4
"T19","2021-05",13.3,21.4,8.1,75,46,289.5,37
"T20","2021-05",12.3,22.4,10.1,71,46,289.5,32
"T21","2021-05",12.7,22,9.3,71,46,289.5,37
"T22","2021-05",13.1,21,7.9,77,46,289.5,38
"T23","2021-05",11.8,23.5,11.7,70,46,289.5,13
"T24","2021-05",13,20.9,7.9,74,46,289.5,38
"T25","2021-05",13.8,21.1,7.3,87,46,289.5,55
"T26","2021-05",13.9,21.3,7.4,77,46,289.5,51
"T27","2021-05",12.9,21.1,8.1,83,46,289.5,47
"T28","2021-05",13.1,23.5,10.5,74,46,289.5,11
"T29","2021-05",12.9,21.6,8.7,86,46,289.5,48
"T30","2021-05",13.2,22.3,9.1,73,46,289.5,32
"T31","2021-05",13.6,21.3,7.7,77,46,289.5,39
"T32","2021-05",12.7,22.8,10.1,74,46,289.5,33
"T33","2021-05",13.2,22.8,9.6,77,46,289.5,29
"T34","2021-05",12.7,22.2,9.5,83,46,289.5,35
"T35","2021-05",12.3,20.6,8.4,83,46,289.5,51
"T36","2021-05",12.2,22.3,10.1,77,46,289.5,34
"T01","2021-06",14.9,25.4,10.5,58,24.9,146.1,4
"T02","2021-06",15.1,21.6,6.5,75,32.5,146.1,63
"T03","2021-06",15.3,25.1,9.9,62,31.8,146.1,29
"T04","2021-06",15.1,23.5,8.4,70,29.4,146.1,36
"T05","2021-06",14.5,26,11.5,65,23.9,146.1,2
"T06","2021-06",14.7,23.9,9.1,65,33.2,146.1,29
"T07","2021-06",14.3,24.2,9.9,56,32.1,146.1,12
"T08","2021-06",14.5,26.1,11.6,57,23.4,146.1,2
"T09","2021-06",14.3,25.5,11.1,64,31.3,146.1,28
"T10","2021-06",14.6,22.3,7.7,68,34.5,146.1,49
"T11","2021-06",14.5,24.7,10.2,66,31,146.1,36
"T12","2021-06",14.3,25.3,11,55,26.7,146.1,6
"T13","2021-06",15.1,22.8,7.7,64,34.6,146.1,36
"T14","2021-06",14.7,23.6,8.9,72,35.2,146.1,28
"T15","2021-06",14.4,26.7,12.2,62,29.5,146.1,2
"T16","2021-06",14.9,23.8,9,67,37.8,146.1,36
"T17","2021-06",15.9,23.1,7.2,74,37.1,146.1,45
"T18","2021-06",14.5,25.8,11.3,62,30.8,146.1,4
"T19","2021-06",15.2,22.5,7.3,72,35.3,146.1,37
"T20","2021-06",14.6,24.3,9.7,76,36.3,146.1,32
"T21","2021-06",15.4,23.3,7.9,69,37.6,146.1,37
"T22","2021-06",14.2,24.9,10.6,68,35.8,146.1,38
"T23","2021-06",14.7,25.3,10.6,64,31.9,146.1,13
"T24","2021-06",14,23,9,71,36.1,146.1,38
"T25","2021-06",15.7,23.4,7.7,82,42.9,146.1,55
"T26","2021-06",15,22.9,7.9,83,43.1,146.1,51
"T27","2021-06",14.7,24.4,9.6,76,42.5,146.1,47
"T28","2021-06",13.3,25.5,12.1,67,39.2,146.1,11
"T29","2021-06",15.4,22.8,7.4,77,42.6,146.1,48
"T30","2021-06",15,24.3,9.3,68,37.6,146.1,32
"T31","2021-06",14.9,23.9,9,71,42.1,146.1,39
"T32","2021-06",15.2,24.4,9.2,73,40.9,146.1,33
"T33","2021-06",15,24.2,9.2,73,38.2,146.1,29
"T34","2021-06",14.9,24.4,9.5,71,40.4,146.1,35
"T35","2021-06",15.4,22.8,7.4,77,41.6,146.1,51
"T36","2021-06",14.9,23.4,8.5,76,39.2,146.1,34
"T01","2021-07",15.9,27.9,12.1,56,21.7,87.2,4
"T02","2021-07",16.8,25.5,8.7,70,23.7,87.2,63
"T03","2021-07",15.4,26.7,11.2,61,25,87.2,29
"T04","2021-07",15,26.6,11.7,59,24.8,87.2,36
"T05","2021-07",15.3,29.8,14.5,59,20.8,87.2,2
