"talhao_id","ano_safra","area_colhida_ha","producao_cereja_kg","producao_beneficiada_kg","produtividade_kg_ha","rendimento_beneficiamento_pct","peneira_alta_pct","defeitos_pct","nota_sensorial","preco_medio_saca","receita_estimada_cafe","custo_direto_estimado"
"T01",2021,0.82,3595,1042,1271,26.5,54,13.5,76,612,10629,3532
"T02",2021,0.85,4353,1262,1484,28.6,51,12.9,80.2,832,17500,4174
"T03",2021,0.53,2491,722,1363,28,51,13.7,80.5,844,10156,2252
"T04",2021,0.81,4009,1162,1435,28.8,45,14.8,77.1,671,12994,3508
"T05",2021,0.53,2097,608,1147,29.5,49,18.1,76.2,623,6311,2254
"T06",2021,0.8,3212,931,1164,26.2,52,14.9,78.6,747,11592,2805
"T07",2021,0.77,3393,984,1277,27.7,54,15.2,76,612,10033,3333
"T08",2021,0.7,3142,911,1301,27.4,51,15.5,76.6,642,9740,3082
"T09",2021,0.72,3966,1150,1597,28.3,63,12.3,81.8,914,17521,3007
"T10",2021,0.75,4180,1212,1615,27.1,53,14.9,79.2,780,15755,2991
"T11",2021,0.39,1731,502,1287,29.8,52,11.5,79,770,6444,1463
"T12",2021,0.63,2610,757,1201,27.2,53,15.3,76,612,7716,2595
"T13",2021,0.73,4773,1383,1895,29.6,55,12.6,81.1,880,20278,2763
"T14",2021,0.65,3762,1090,1677,29.3,48,12.5,79.3,783,14231,2500
"T15",2021,0.85,4934,1430,1682,27.4,62,12.9,80.3,837,19944,3690
"T16",2021,0.61,3263,946,1550,27.7,54,12.6,82.2,932,14695,2612
"T17",2021,0.85,4948,1434,1687,27,65,11.5,80,822,19656,3747
"T18",2021,0.56,3638,1055,1883,29.8,56,10.7,81.5,897,15761,2607
"T19",2021,0.69,3703,1073,1556,27.8,45,14.5,79,767,13726,2861
"T20",2021,0.91,5119,1484,1630,28.6,57,10.4,80,819,20247,3990
"T21",2021,0.79,3634,1053,1334,27.7,50,15.5,78.8,758,13318,3389
"T22",2021,0.58,3812,1105,1905,27.8,65,11.7,80.4,842,15506,2245
"T23",2021,0.83,3829,1110,1337,26.2,57,11.8,80.6,852,15769,3050
"T24",2021,0.89,4695,1361,1529,27.9,56,10.2,81.9,919,20840,3588
"T25",2021,0.85,6078,1762,2073,26.5,58,7.1,83.5,1003,29438,3503
"T26",2021,0.64,5001,1449,2265,27.1,66,10.4,82.3,942,22746,2768
"T27",2021,0.79,5413,1569,1986,28.2,57,12.3,81.4,894,23380,3065
"T28",2021,0.84,5089,1475,1756,27.9,61,11.4,79.9,815,20032,3655
"T29",2021,0.69,4602,1334,1933,29.6,59,14.2,79.4,786,17482,2644
"T30",2021,0.92,5602,1624,1765,27.6,55,11.2,81.5,896,24246,4073
"T31",2021,0.45,3311,960,2133,28.7,54,11.5,82.6,954,15260,2009
"T32",2021,0.72,5062,1467,2038,26.4,56,11.5,80.7,856,20921,3043
"T33",2021,0.86,5220,1513,1759,29,57,13.8,81.1,875,22062,3880
"T34",2021,0.67,4536,1315,1962,28.3,52,12.6,79.8,809,17718,2893
"T35",2021,0.71,5257,1524,2146,28.9,55,11.1,83.3,992,25202,3044
"T36",2021,0.89,6042,1751,1968,27.3,57,10.4,82.3,941,27458,4135
"T01",2022,0.82,4782,1386,1690,28,54,13.6,78.5,741,17115,3598
"T02",2022,0.85,5849,1695,1995,27.2,59,10.4,83.4,997,28173,3881
"T03",2022,0.53,3143,911,1719,28.1,60,15.6,78.5,740,11237,2234
"T04",2022,0.81,4952,1435,1772,27.3,56,14.6,79.3,786,18802,3542
