"ponto_agua_id","data_coleta","chuva_72h_mm","vazao_l_s","turbidez_ntu","pH","condutividade_us_cm","nitrato_mg_l","fosforo_mg_l","observacao_campo"
"AG01",2021-01-20,16.1,4.6,6,6.49,50,0.38,0.051,"coleta de rotina"
"AG02",2021-01-20,16.1,4.1,6.6,6.48,56,0.53,0.071,"coleta de rotina"
"AG03",2021-01-20,16.1,4.9,12.6,6.67,70,0.51,0.072,"coleta de rotina"
"AG01",2021-02-20,5.6,2.9,4.9,6.87,48,0.4,0.03,"coleta de rotina"
"AG02",2021-02-20,5.6,3.7,4.7,6.61,60,0.42,0.044,"coleta de rotina"
"AG03",2021-02-20,5.6,2.7,4.6,6.36,64,0.51,0.072,"coleta de rotina"
"AG01",2021-03-20,16.3,4.8,2.8,6.65,58,0.51,0.05,"coleta de rotina"
"AG02",2021-03-20,16.3,3.5,7.8,6.56,51,0.54,0.04,"coleta de rotina"
"AG03",2021-03-20,16.3,4.6,8.1,6.5,65,0.67,0.072,"coleta de rotina"
"AG01",2021-04-20,54.2,5.8,14.9,6.3,40,0.39,0.117,"coleta de rotina"
"AG02",2021-04-20,54.2,6.2,18.7,6.43,59,0.6,0.11,"coleta de rotina"
"AG03",2021-04-20,54.2,6.1,12.7,6.41,67,0.74,0.12,"coleta de rotina"
"AG01",2021-05-20,55.1,6.1,11.7,6.45,52,0.49,0.099,"coleta de rotina"
"AG02",2021-05-20,55.1,5.9,16.4,6.57,54,0.67,0.123,"coleta de rotina"
"AG03",2021-05-20,55.1,5.9,16.9,6.64,53,0.83,0.134,"coleta de rotina"
"AG01",2021-06-20,11.6,3.5,4.5,6.61,51,0.39,0.042,"coleta de rotina"
"AG02",2021-06-20,11.6,3.7,5.7,6.41,60,0.51,0.043,"coleta de rotina"
"AG03",2021-06-20,11.6,4.1,8.1,6.38,70,0.62,0.063,"coleta de rotina"
"AG01",2021-07-20,8.7,4.7,3,6.6,51,0.35,0.044,"coleta de rotina"
"AG02",2021-07-20,8.7,4.1,2.5,6.4,56,0.43,0.042,"coleta de rotina"
"AG03",2021-07-20,8.7,4.1,2.2,6.5,58,0.66,0.063,"coleta de rotina"
"AG01",2021-08-20,4.3,4.2,6.1,6.62,56,0.42,0.018,"coleta de rotina"
"AG02",2021-08-20,4.3,3.2,6.9,6.59,58,0.5,0.044,"coleta de rotina"
"AG03",2021-08-20,4.3,3.1,3.3,6.58,62,0.54,0.054,"coleta de rotina"
"AG01",2021-09-20,0,3.3,1.7,6.56,43,0.34,0.027,"coleta de rotina"
"AG02",2021-09-20,0,4,5.4,6.53,57,0.45,0.045,"coleta de rotina"
"AG03",2021-09-20,0,3.8,8.5,6.4,61,0.5,0.049,"coleta de rotina"
"AG01",2021-10-20,13.5,3.1,5.9,6.37,45,0.34,0.048,"coleta de rotina"
"AG02",2021-10-20,13.5,4.6,9.6,6.34,62,0.37,0.049,"coleta de rotina"
"AG03",2021-10-20,13.5,4.8,10.2,6.48,69,0.7,0.073,"coleta de rotina"
"AG01",2021-11-20,4.2,4.2,3,6.65,52,0.3,0.019,"coleta de rotina"
"AG02",2021-11-20,4.2,4.3,5.4,6.37,52,0.55,0.054,"coleta de rotina"
"AG03",2021-11-20,4.2,4.9,10,6.6,69,0.66,0.044,"coleta de rotina"
"AG01",2021-12-20,0,3.3,3.8,6.54,54,0.21,0.016,"coleta de rotina"
"AG02",2021-12-20,0,3,4.7,6.64,61,0.5,0.032,"coleta de rotina"
"AG03",2021-12-20,0,4.1,5.8,6.52,65,0.6,0.056,"coleta de rotina"
"AG01",2022-01-20,17.5,4.9,6.4,6.65,61,0.49,0.067,"coleta de rotina"
"AG02",2022-01-20,17.5,3.7,8.4,6.66,62,0.68,0.058,"coleta de rotina"
"AG03",2022-01-20,17.5,3.8,9.9,6.41,67,0.66,0.089,"coleta de rotina"
"AG01",2022-02-20,19.6,4.3,6.6,6.51,47,0.26,0.068,"coleta de rotina"
"AG02",2022-02-20,19.6,3.9,8.2,6.61,64,0.55,0.071,"coleta de rotina"
"AG03",2022-02-20,19.6,4.9,12.6,6.36,64,0.67,0.084,"coleta de rotina"
"AG01",2022-03-20,30.6,4,6.2,6.73,56,0.36,0.074,"coleta de rotina"
"AG02",2022-03-20,30.6,4.3,10.7,6.56,53,0.51,0.084,"coleta de rotina"
"AG03",2022-03-20,30.6,5.1,11,6.49,67,0.66,0.092,"coleta de rotina"
"AG01",2022-04-20,52.3,5.6,11.6,6.57,52,0.56,0.118,"coleta de rotina"
"AG02",2022-04-20,52.3,5.3,8.4,6.6,58,0.67,0.118,"coleta de rotina"
"AG03",2022-04-20,52.3,6.5,16.6,6.5,64,0.7,0.132,"coleta de rotina"
"AG01",2022-05-20,15.8,4.2,1.6,6.38,54,0.33,0.045,"coleta de rotina"
