"amostra_solo_id","talhao_id","data_coleta","profundidade_cm","pH","materia_organica_g_kg","carbono_g_kg","nitrogenio_g_kg","fosforo_mg_dm3","potassio_mg_dm3","calcio_cmolc_dm3","magnesio_cmolc_dm3","ctc_cmolc_dm3","areia_pct","silte_pct","argila_pct","densidade_g_cm3","infiltracao_mm_h","umidade_gravimetrica_pct"
"S2021_T01_01","T01",2021-09-15,"0_20",5.22,26,16.3,1.12,17.1,134,2.06,0.61,7.07,44.4,27.2,28.5,1.36,15.6,11
"S2021_T02_01","T02",2021-09-15,"0_20",5.08,29.8,18.6,1.29,15.3,129,2.46,1.03,6.94,44.5,29,26.5,1.36,14,14
"S2021_T03_01","T03",2021-09-15,"0_20",5.07,23.8,16.2,0.76,16.2,136,1.68,0.56,5.95,41.3,28.9,29.9,1.33,14,15.3
"S2021_T04_01","T04",2021-09-15,"0_20",4.84,26.4,15.1,1.37,10.1,136,2.55,0.98,6.46,40.1,27.1,32.8,1.42,20.2,12.8
"S2021_T05_01","T05",2021-09-15,"0_20",5.04,26.8,13.1,0.91,16.2,107,2.3,0.58,6.2,48.2,24.1,27.8,1.38,10.5,8
"S2021_T06_01","T06",2021-09-15,"0_20",5.15,30.3,15.6,0.97,11.2,143,1.84,0.48,5.55,41.7,25,33.3,1.3,11.7,13.9
"S2021_T07_01","T07",2021-09-15,"0_20",4.97,22.7,13.4,1.01,8.1,130,1.72,0.46,5.89,47.9,24.5,27.6,1.36,7.5,14.8
"S2021_T08_01","T08",2021-09-15,"0_20",4.81,27,15.3,1.08,18.2,123,2.34,0.69,6.28,42.9,28.8,28.3,1.37,13.2,11.3
"S2021_T09_01","T09",2021-09-15,"0_20",5.13,24.7,15,0.89,12.8,117,1.11,0.52,6.1,44.6,27.7,27.7,1.4,7,12.4
"S2021_T10_01","T10",2021-09-15,"0_20",5.26,30,13.8,1.12,14.5,136,2.42,0.57,6.61,35.1,29.7,35.2,1.36,17.5,10.7
"S2021_T11_01","T11",2021-09-15,"0_20",5.04,31.1,17.7,1.15,10.3,120,2.34,1.06,6.98,41.5,29.9,28.7,1.35,10.7,14.1
"S2021_T12_01","T12",2021-09-15,"0_20",4.99,27.4,13.9,0.76,9.1,110,2.07,0.74,6.09,38.1,27.6,34.3,1.4,11.6,11.5
"S2021_T13_01","T13",2021-09-15,"0_20",5.45,30,20.8,1.11,10.3,82,2.47,0.65,6.92,23.6,28.7,47.6,1.24,17.8,16.7
"S2021_T14_01","T14",2021-09-15,"0_20",5.43,28.3,16.7,1.19,17.5,124,2.6,0.57,7.8,22.8,27.1,50.1,1.27,22.3,16.7
"S2021_T15_01","T15",2021-09-15,"0_20",5.44,23.9,14.5,0.99,12.5,117,2.49,0.82,6.62,21.9,31,47.1,1.32,13.3,12.2
"S2021_T16_01","T16",2021-09-15,"0_20",5.3,29.4,18.2,1.14,17.1,116,2.76,1.04,7.5,30,24.4,45.7,1.3,23.7,17.3
"S2021_T17_01","T17",2021-09-15,"0_20",5.29,34,20.2,1.61,18.7,135,3.04,0.88,8.31,25,27.1,47.9,1.21,16.5,16.7
"S2021_T18_01","T18",2021-09-15,"0_20",5.64,29.5,16.7,1.21,11.2,82,2.47,0.71,8.07,24.9,25.3,49.8,1.31,19,15
"S2021_T19_01","T19",2021-09-15,"0_20",5.73,34.3,20.3,1.35,17,166,2.48,1.11,8.88,25.1,25.6,49.3,1.2,19.8,18.1
"S2021_T20_01","T20",2021-09-15,"0_20",6.02,34.3,22,1.59,11.7,148,3,0.95,7.44,25.9,24.6,49.4,1.26,15.6,15.5
"S2021_T21_01","T21",2021-09-15,"0_20",5.47,35.7,20.5,1.5,17.2,151,2.76,0.96,7.88,25.8,26.8,47.4,1.25,25.7,18.5
"S2021_T22_01","T22",2021-09-15,"0_20",5.73,37.8,20.6,1.71,17.6,116,3.29,0.83,7.15,24.5,28.5,47,1.17,28.3,22.2
"S2021_T23_01","T23",2021-09-15,"0_20",5.52,34.5,20.3,1.33,18.2,148,2.56,0.91,7.74,25.1,24.5,50.4,1.21,20.6,18.4
"S2021_T24_01","T24",2021-09-15,"0_20",5.67,33.6,22.8,1.47,10.8,125,3.09,0.93,8.41,24.6,28.1,47.2,1.23,23.2,21.5
"S2021_T25_01","T25",2021-09-15,"0_20",5.99,46.7,25.9,1.99,17,107,3.11,1.12,9.41,35,26.3,38.7,1.23,32.9,27.2
"S2021_T26_01","T26",2021-09-15,"0_20",5.96,36.2,25.3,1.71,18.4,108,2.64,1.02,9.36,28.9,31.3,39.9,1.18,33.4,24.4
"S2021_T27_01","T27",2021-09-15,"0_20",5.69,40.2,21.9,1.53,16.5,89,3.52,1.16,8.08,37,25.3,37.7,1.13,34.1,25.7
"S2021_T28_01","T28",2021-09-15,"0_20",5.55,33.4,21.3,1.34,6.4,137,3.01,1.08,8.53,33.8,26.7,39.5,1.29,29.7,24.7
"S2021_T29_01","T29",2021-09-15,"0_20",5.75,43,25,2.03,17,140,3.22,1.11,9.37,36.5,23.3,40.2,1.14,40,27.4
"S2021_T30_01","T30",2021-09-15,"0_20",5.85,37,21.7,1.5,9.8,140,3.49,1.25,8.72,35.5,25.9,38.6,1.26,29,25.5
"S2021_T31_01","T31",2021-09-15,"0_20",5.78,41.2,23,1.53,17.9,157,2.91,1.18,7.72,30.6,28.6,40.8,1.2,31.5,22.9
"S2021_T32_01","T32",2021-09-15,"0_20",5.83,42.4,24.2,1.77,16.1,97,3.4,1.24,8.2,35.8,25.1,39.2,1.22,27.4,28.4
"S2021_T33_01","T33",2021-09-15,"0_20",5.93,45.7,23.8,1.48,14.9,126,3.26,1.13,9.1,28.5,25.3,46.2,1.19,31.3,24.7
"S2021_T34_01","T34",2021-09-15,"0_20",5.64,42.6,22.8,1.78,14.5,118,3.91,1.14,8.88,30.8,28.1,41.1,1.17,35.6,25.4
"S2021_T35_01","T35",2021-09-15,"0_20",5.72,40.2,23.2,1.85,11.3,103,3.05,0.84,8.61,33.3,28.7,38,1.23,32.9,21.2
"S2021_T36_01","T36",2021-09-15,"0_20",5.59,37.9,18.5,1.45,22.1,148,2.98,0.73,7.27,34.6,23.5,41.9,1.29,28.1,24.2
"S2023_T01_01","T01",2023-09-15,"0_20",4.82,28.1,14.5,1.11,11.9,117,2.22,0.84,7.19,35.8,29.4,34.7,1.26,15.4,14.1
"S2023_T02_01","T02",2023-09-15,"0_20",4.79,28.5,14.7,1.17,15.8,135,2.21,0.53,6.66,41.5,25.5,32.9,1.34,11.3,13.2
"S2023_T03_01","T03",2023-09-15,"0_20",5.24,27.6,17.3,0.91,15.1,96,2.53,0.52,6.79,49.4,25.5,25.1,1.36,9.3,16.3
"S2023_T04_01","T04",2023-09-15,"0_20",5.02,24.1,14.7,0.89,15.1,109,1.98,0.72,5.54,48.8,23.2,28,1.36,14.4,10.6
"S2023_T05_01","T05",2023-09-15,"0_20",4.75,31.6,18.3,1.02,17.8,122,2.31,0.61,6.82,47.8,24.8,27.3,1.35,16.7,12.4
"S2023_T06_01","T06",2023-09-15,"0_20",4.95,30.2,15.2,0.81,13.3,142,2.17,1,6.1,45.4,24.9,29.7,1.34,11.4,11.8
"S2023_T07_01","T07",2023-09-15,"0_20",4.6,19.2,14.4,1.01,12.5,111,1.42,0.8,7.02,45.8,24,30.2,1.39,12.4,11.7
"S2023_T08_01","T08",2023-09-15,"0_20",4.8,28.2,16.1,1.12,11.7,137,2.07,0.54,6.04,43.1,26.1,30.8,1.38,9.3,11.8
"S2023_T09_01","T09",2023-09-15,"0_20",4.89,23.8,15.1,1.25,23.7,98,2.55,0.69,6.9,40.6,26.3,33.1,1.38,22.2,11.3
"S2023_T10_01","T10",2023-09-15,"0_20",4.75,32.1,14.2,1.18,13,117,2.17,0.71,5.49,44.9,24.7,30.4,1.3,14.3,12.3
"S2023_T11_01","T11",2023-09-15,"0_20",5.3,24.6,14.5,1.25,15.5,85,2.73,0.6,5.62,44.3,25.8,29.8,1.3,14.9,11.7
"S2023_T12_01","T12",2023-09-15,"0_20",5.12,23.6,16.4,1.03,8.6,148,1.67,0.61,5.89,41.8,29.2,29.1,1.32,10.6,15.8
"S2023_T13_01","T13",2023-09-15,"0_20",5.5,33,20,1.51,16.4,125,2.6,0.69,7.7,26.7,26.6,46.7,1.24,22.5,20.8
"S2023_T14_01","T14",2023-09-15,"0_20",5.58,33.9,18.5,1.29,8.4,99,2.83,0.68,7.29,25.9,25.1,49,1.3,17.7,15.9
"S2023_T15_01","T15",2023-09-15,"0_20",5.67,29.3,18.2,1.21,10.8,104,2.27,0.95,7.51,24.4,28.9,46.7,1.28,14.6,16.7
"S2023_T16_01","T16",2023-09-15,"0_20",5.38,32.3,16.6,1.2,13.9,112,2.68,0.8,8.16,29.5,27.6,42.9,1.2,17.4,17.9
"S2023_T17_01","T17",2023-09-15,"0_20",5.66,36.8,16.9,1.49,20.1,133,2.41,1.09,7.95,28.7,25.4,46,1.21,27.7,20.5
"S2023_T18_01","T18",2023-09-15,"0_20",5.76,29.2,17.7,1.35,15.2,144,2.58,0.77,6.83,25.9,24.3,49.8,1.29,17.1,18.5
"S2023_T19_01","T19",2023-09-15,"0_20",5.34,34.8,20.2,1.45,15.3,135,3.33,0.93,8.11,26.8,24.7,48.5,1.28,25.1,18.8
"S2023_T20_01","T20",2023-09-15,"0_20",5.56,38.1,21.4,1.56,19.6,119,2.76,0.96,8.07,24.9,29.4,45.7,1.23,29.6,18.2
"S2023_T21_01","T21",2023-09-15,"0_20",5.71,33.3,19.7,1.73,21,140,2.96,0.93,8.39,26.4,27.7,45.9,1.2,22.9,18.7
"S2023_T22_01","T22",2023-09-15,"0_20",5.57,29.2,18.1,1.43,17.4,143,3.12,0.98,8.15,29.2,25.8,45,1.31,28.2,16.7
"S2023_T23_01","T23",2023-09-15,"0_20",5.56,28.6,18.8,1.35,11.8,154,2.52,0.93,7.89,27,27.3,45.7,1.29,9.2,16.1
"S2023_T24_01","T24",2023-09-15,"0_20",5.28,31.9,18.2,1.29,20.8,133,2.96,0.91,7.97,23.2,28.9,48,1.25,21,20.9
"S2023_T25_01","T25",2023-09-15,"0_20",5.99,38.1,19.1,1.51,16,141,2.58,0.89,7.72,32.9,26.2,40.9,1.28,22.9,23.6
"S2023_T26_01","T26",2023-09-15,"0_20",6.17,52.4,27,1.86,22.9,111,3.46,0.97,9.47,36.8,27.4,35.8,1.2,41.7,26.1
"S2023_T27_01","T27",2023-09-15,"0_20",5.71,45.8,23.7,1.78,20.8,98,2.74,1.38,8.59,40.3,23.6,36,1.19,32,22.7
"S2023_T28_01","T28",2023-09-15,"0_20",5.67,41.1,24.3,1.58,6.7,131,3.07,1.28,7.78,35,27.7,37.3,1.25,30.8,24.4
"S2023_T29_01","T29",2023-09-15,"0_20",6.19,43.9,26.4,1.76,17.6,131,3.6,1.5,9.16,32.2,30.2,37.6,1.13,33.7,30.3
"S2023_T30_01","T30",2023-09-15,"0_20",5.69,39.2,20.7,1.65,8.3,123,2.78,1.06,8.81,35.1,26.8,38.2,1.22,30.7,24.1
"S2023_T31_01","T31",2023-09-15,"0_20",5.63,39.7,26.3,1.67,24.4,120,3.74,1.23,9.25,31.6,27.1,41.4,1.2,36.2,25.6
"S2023_T32_01","T32",2023-09-15,"0_20",5.63,41,22.1,1.79,18,133,3.73,1.21,9,28.9,26.6,44.5,1.24,37.1,25.5
"S2023_T33_01","T33",2023-09-15,"0_20",5.82,37.1,23,1.42,10.8,123,3.19,0.93,8.99,30,25.8,44.2,1.28,27.7,24.5
"S2023_T34_01","T34",2023-09-15,"0_20",5.79,40.7,23.6,1.74,12,111,2.91,1.39,8.55,32.2,28.5,39.3,1.22,30.3,23.3
"S2023_T35_01","T35",2023-09-15,"0_20",5.87,41.3,26.6,1.88,18.7,154,3.38,1.11,7.98,33.2,27.6,39.1,1.19,36.8,28
"S2023_T36_01","T36",2023-09-15,"0_20",5.72,45.6,25.2,1.68,9.3,154,3.12,1.27,8.38,27.4,29.6,43,1.19,32.5,26.1
"S2025_T01_01","T01",2025-09-15,"0_20",4.81,27.1,15.5,0.91,17,105,1.69,0.36,5.59,46.3,25.1,28.6,1.4,16.4,10.3
"S2025_T02_01","T02",2025-09-15,"0_20",4.67,26.8,17.4,1.12,15,173,2.77,0.44,7.49,45.6,22.4,32.1,1.32,20.3,13.6
"S2025_T03_01","T03",2025-09-15,"0_20",5.2,29.5,15.1,0.91,7.2,88,2.59,0.86,6.68,46.2,25.5,28.3,1.42,15.1,9.9
"S2025_T04_01","T04",2025-09-15,"0_20",5.11,21.7,14.3,0.88,16.2,145,1.81,0.51,5.37,37.7,28.8,33.5,1.3,7,13.2
"S2025_T05_01","T05",2025-09-15,"0_20",4.73,25.2,13.2,1.03,11.9,106,1.79,0.87,6.38,45.2,27.7,27.1,1.37,13.5,8
"S2025_T06_01","T06",2025-09-15,"0_20",4.87,30.6,16,0.91,11.1,118,1.79,0.81,6.65,41.9,29,29.1,1.29,23.6,15.5
"S2025_T07_01","T07",2025-09-15,"0_20",5.15,24.6,14.3,0.86,15.7,198,2,0.63,6.27,39.6,28.1,32.3,1.27,11.7,8
"S2025_T08_01","T08",2025-09-15,"0_20",4.92,30.7,15.9,0.85,14.4,108,2.11,0.8,5.82,44.3,26,29.6,1.38,10.3,9
"S2025_T09_01","T09",2025-09-15,"0_20",5.13,27.4,14.8,0.95,12.3,173,2.13,0.5,6.41,39.3,29.7,31,1.34,17.5,12.3
